Stkcd,Accper,STPT,ROA,PS(TTM),ROE(C),CR,QR,WC/TA,WC/S,EBIT/TA,EBITDA/TA,CF/TA,CF/S,CF/TL,EBIT/S,EBITDA/S,RE/TA,S/TA,QA/S,CL/TA,LTL/TA,TL/TA,I/WC,LTL/CA,lnTA,lnS,FA/TA,E/TA,CL/TL,LongTermRating,RatingDate,Rating,LastYearRating,RatingChange
000009,2022,0,0.0549635177838315,0.97346,0.143067,1.4461877716958291,0.926223250775508,0.2064153298123386,0.337330387234428,0.0635317177371453,0.0779071323560025,0.0055547477173337,0.009077742434059,0.0090830501058892,0.103825519962222,0.1273182720966843,0.0983417316648227,0.611908495717257,0.7002505843271484,0.4626198719606642,0.1489310555996948,0.611550927560359,1.1296946715440697,0.2226057092437202,24.68013429173081,24.18896176728037,0.1505555709847472,0.3603242118682015,0.7564699048142715,AA+,2022-05-31,22.0,22.0,0.0
000009,2023,0,0.0441485708611032,0.986112,0.084331,1.8410140378944937,1.1630937945105195,0.2638699663667049,0.4306558054233135,0.0526738607504368,0.0729206002733825,0.1189953535341292,0.1942094453699774,0.2182125546284091,0.0859677372100394,0.1190119522698645,0.1159658767431662,0.6127166127653468,0.5955823235861651,0.3137521545149378,0.2315663938919797,0.5453185484069176,0.7970027530369286,0.4008959932810965,24.637287359824324,24.147434614234854,0.2223003390442619,0.4196236596080506,0.5753557355265595,AA+,2023-06-14,22.0,22.0,0.0
000012,2012,0,0.0241680359281185,2.447904,0.050748,0.4243688633379137,0.3164054110776969,-0.1626395556519267,-0.3333500683454933,0.0493514466594679,0.0933810529519286,0.120383540209965,0.2467410907254831,0.2557417905418149,0.1011519494807948,0.1913961229107106,0.2332616166263678,0.4878941722110658,0.1832315152707777,0.2825412756422891,0.1881817139595289,0.4707229896018181,-0.1575307196463698,1.5694663427234816,23.38602642202508,22.66836966515528,0.6569863070084301,0.5069957601821539,0.600228333613553,AA+,2012-07-27,22.0,22.0,0.0
000012,2013,0,0.1204671188401733,2.184339,0.206931,0.5929744041365301,0.4775740663230636,-0.1057413713895298,-0.2061678415744178,0.1405543679338523,0.1869988010837109,0.1126654648604831,0.219668001322746,0.2735127780642294,0.2740440215592681,0.3645984413651171,0.3029818904540349,0.5128897435314214,0.2419022671949378,0.259790471322101,0.1521298259958756,0.4119202973179766,-0.2375002820076924,0.9875411544920704,23.43656004928872,22.76886566748767,0.5292133554208401,0.557131560762512,0.6306814036929068,AA+,2013-04-17,22.0,22.0,0.0
000012,2014,0,0.0530308851637095,2.619026,0.100983,0.2653774432579835,0.1824862088004972,-0.2753564685099774,-0.5974382293670074,0.0738919936122363,0.1216115421767937,0.0920062472856678,0.1996250524510946,0.2300507638068525,0.1603227338982708,0.2638593704438874,0.3135404223819868,0.4608952942327122,0.1484085078372484,0.374827135353913,0.0251117553637682,0.3999388907176812,-0.0928212458950488,0.2524538757055614,23.45009777218845,22.67551338292776,0.6445215679175981,0.5570146465864733,0.9372110191166813,AA+,2014-12-24,22.0,22.0,0.0
000012,2015,0,0.0335201111973409,3.728454,0.067792,0.4474012926383923,0.3596909191483142,-0.1852060712316668,-0.3902365895498827,0.0587743425441941,0.1110344870682001,0.0697975296849365,0.1470661828854735,0.1467366297910685,0.1238398872939391,0.2339540991705158,0.2738206274174979,0.4745994511824024,0.2540081178449979,0.335154731207998,0.1405106141411353,0.4756653453491334,-0.1208445924014367,0.9370581515254244,23.474195444883925,22.72891135352352,0.6514375401426051,0.4883044966508196,0.7046019527909858,AA+,2015-07-08,22.0,22.0,0.0
000012,2016,0,0.0504428503031615,2.622475,0.101964,0.3803423419589892,0.2978842926171811,-0.2513502684696447,-0.4802559232554278,0.0712627472276611,0.1247509730178395,0.1306861966882885,0.2497026179021338,0.266962540248748,0.1361620048067378,0.2383621632412581,0.2602453947887932,0.5233673470716614,0.2308705365256474,0.4056276319803177,0.083902459269634,0.4895300912499518,-0.110857728441344,0.5438416716515229,23.565078315767128,22.91760663875164,0.6682274562370156,0.4740933357198522,0.8286061249975462,AA+,2016-11-17,22.0,22.0,0.0
000012,2017,0,0.0502020197656318,1.92943,0.098012,0.6619757233667933,0.5506881347208717,-0.129012403660027,-0.2316540836981868,0.0671752212402905,0.1184898950302497,0.1261042158886724,0.2264321549976664,0.2421847962588036,0.1206195209311025,0.2127599151866006,0.2600580467459711,0.5569183223556392,0.3773964299926708,0.3816660890306988,0.1390280991953653,0.5206941882260641,-0.2721528600910948,0.5502714080398045,23.695473686671765,23.110136998364684,0.5907739082696384,0.4494303581647766,0.732994716785652,AA+,2017-06-01,22.0,22.0,0.0
000012,2018,0,0.0278472940048812,1.076769,0.051808,0.7954660598767807,0.6838778532334918,-0.0662929063650735,-0.1194290814856074,0.0467714456877557,0.1000380871445328,0.1114550590670946,0.2007903418505141,0.2356389528077732,0.0842604601988843,0.1802222517663403,0.2830649685420847,0.5550817735549828,0.3993220089087453,0.3241168987657308,0.148873910856548,0.4729908096222789,-0.473618252403684,0.5774245812825624,23.673699139677257,23.08505930332683,0.519552270805222,0.4943662597746061,0.6852498868309178,AA+,2018-06-19,22.0,22.0,0.0
000012,2019,0,0.0364655939571955,1.486402,0.058029,0.7414637795743814,0.601967104162187,-0.0906774341433611,-0.1576047504262908,0.0523329312441006,0.1057784643491748,0.1307074050003529,0.2271800932454698,0.3053469104843699,0.0909588879054821,0.183851568272993,0.3189812021600197,0.5753470875598355,0.3669616391085659,0.350733966769075,0.0773280194911185,0.4280619862601936,-0.4921845163994389,0.2973508056512191,23.62475533855856,23.071973548800983,0.5374930209705107,0.5420431640040143,0.8193532199233514,AA+,2019-06-27,22.0,22.0,0.0
