company,feature_years,target_year,true,pred_proba,pred_binary
2028,"[2021, 2022]",2023.0,0.0,0.018582357,0
2029,"[2021, 2022]",2023.0,0.0,0.9929894,1
2030,"[2021, 2022]",2023.0,0.0,2.0934192e-06,0
2031,"[2021, 2022]",2023.0,0.0,0.9930848,1
2032,"[2021, 2022]",2023.0,0.0,1.8572247e-06,0
2033,"[2021, 2022]",2023.0,0.0,0.011481222,0
2035,"[2021, 2022]",2023.0,0.0,0.98763925,1
2036,"[2021, 2022]",2023.0,0.0,0.9960704,1
2038,"[2021, 2022]",2023.0,0.0,0.0007506522,0
2039,"[2021, 2022]",2023.0,0.0,0.0017744689,0
2041,"[2021, 2022]",2023.0,0.0,0.004985211,0
2042,"[2021, 2022]",2023.0,0.0,0.8471918,1
2043,"[2021, 2022]",2023.0,0.0,3.5266398e-06,0
2045,"[2021, 2022]",2023.0,0.0,0.992469,1
2046,"[2021, 2022]",2023.0,0.0,0.9296963,1
2047,"[2021, 2022]",2023.0,0.0,0.50815785,1
2049,"[2021, 2022]",2023.0,0.0,3.4499397e-05,0
2051,"[2021, 2022]",2023.0,0.0,0.9383936,1
2052,"[2021, 2022]",2023.0,1.0,0.9988978,1
2054,"[2021, 2022]",2023.0,0.0,0.23937616,0
2055,"[2021, 2022]",2023.0,0.0,0.9985209,1
2056,"[2021, 2022]",2023.0,0.0,4.5411118e-05,0
2057,"[2021, 2022]",2023.0,0.0,0.011073424,0
2058,"[2021, 2022]",2023.0,0.0,0.7300978,1
2059,"[2021, 2022]",2023.0,0.0,0.9882881,1
2060,"[2021, 2022]",2023.0,0.0,0.99008745,1
2061,"[2021, 2022]",2023.0,0.0,0.09690345,0
2062,"[2021, 2022]",2023.0,0.0,0.7719043,1
2063,"[2021, 2022]",2023.0,0.0,0.010970856,0
2064,"[2021, 2022]",2023.0,0.0,0.0006871232,0
2065,"[2021, 2022]",2023.0,0.0,0.15636897,0
2066,"[2021, 2022]",2023.0,0.0,0.9922633,1
2067,"[2021, 2022]",2023.0,0.0,0.004864836,0
2068,"[2021, 2022]",2023.0,0.0,0.084847875,0
2069,"[2021, 2022]",2023.0,0.0,0.9930224,1
2073,"[2021, 2022]",2023.0,0.0,0.99189925,1
2074,"[2021, 2022]",2023.0,0.0,0.9927468,1
2076,"[2021, 2022]",2023.0,0.0,0.60295105,1
2077,"[2021, 2022]",2023.0,0.0,0.0015276014,0
2078,"[2021, 2022]",2023.0,0.0,0.00050776167,0
2079,"[2021, 2022]",2023.0,0.0,0.00012800941,0
2080,"[2021, 2022]",2023.0,0.0,0.0002653221,0
2081,"[2021, 2022]",2023.0,0.0,0.48582983,0
2083,"[2021, 2022]",2023.0,0.0,0.45395947,0
2084,"[2021, 2022]",2023.0,0.0,0.9965939,1
2085,"[2021, 2022]",2023.0,0.0,0.007970971,0
2086,"[2021, 2022]",2023.0,1.0,0.99952435,1
2087,"[2021, 2022]",2023.0,1.0,0.999183,1
2088,"[2021, 2022]",2023.0,0.0,2.3150711e-05,0
2090,"[2021, 2022]",2023.0,0.0,0.00503672,0
2091,"[2021, 2022]",2023.0,0.0,0.00016406496,0
2092,"[2021, 2022]",2023.0,0.0,0.8340805,1
2093,"[2021, 2022]",2023.0,0.0,0.0075093014,0
2094,"[2021, 2022]",2023.0,0.0,0.3316999,0
2095,"[2021, 2022]",2023.0,0.0,0.044952646,0
2096,"[2021, 2022]",2023.0,0.0,0.9975841,1
2097,"[2021, 2022]",2023.0,0.0,0.9970354,1
2100,"[2021, 2022]",2023.0,0.0,0.99885654,1
2101,"[2021, 2022]",2023.0,0.0,0.030159598,0
2102,"[2021, 2022]",2023.0,0.0,0.6578463,1
2104,"[2021, 2022]",2023.0,0.0,0.019951988,0
2105,"[2021, 2022]",2023.0,0.0,6.449836e-06,0
2106,"[2021, 2022]",2023.0,0.0,0.09254149,0
2107,"[2021, 2022]",2023.0,0.0,8.514879e-06,0
2108,"[2021, 2022]",2023.0,0.0,0.03621869,0
2110,"[2021, 2022]",2023.0,0.0,0.00048867904,0
2111,"[2021, 2022]",2023.0,0.0,0.5215736,1
2115,"[2021, 2022]",2023.0,0.0,0.9747487,1
2116,"[2021, 2022]",2023.0,0.0,0.5739739,1
2117,"[2021, 2022]",2023.0,0.0,0.0015904398,0
2119,"[2021, 2022]",2023.0,0.0,0.00018761648,0
2120,"[2021, 2022]",2023.0,0.0,0.018422937,0
2121,"[2021, 2022]",2023.0,0.0,0.9872693,1
2122,"[2021, 2022]",2023.0,0.0,0.09042328,0
2123,"[2021, 2022]",2023.0,0.0,0.9459099,1
2124,"[2021, 2022]",2023.0,0.0,0.87043965,1
2126,"[2021, 2022]",2023.0,0.0,0.99345845,1
2128,"[2021, 2022]",2023.0,0.0,1.787452e-05,0
2130,"[2021, 2022]",2023.0,0.0,7.854148e-05,0
2132,"[2021, 2022]",2023.0,0.0,0.99862695,1
2133,"[2021, 2022]",2023.0,0.0,0.9333607,1
2134,"[2021, 2022]",2023.0,0.0,0.9913694,1
2135,"[2021, 2022]",2023.0,0.0,0.10573185,0
2136,"[2021, 2022]",2023.0,0.0,2.6235018e-06,0
2137,"[2021, 2022]",2023.0,0.0,0.009065487,0
2138,"[2021, 2022]",2023.0,0.0,0.0007741072,0
2139,"[2021, 2022]",2023.0,0.0,0.0068088565,0
2140,"[2021, 2022]",2023.0,0.0,0.98461086,1
2141,"[2021, 2022]",2023.0,0.0,0.0054137995,0
2144,"[2021, 2022]",2023.0,0.0,0.081439786,0
2145,"[2021, 2022]",2023.0,0.0,0.0018061255,0
2146,"[2021, 2022]",2023.0,0.0,0.9800677,1
2148,"[2021, 2022]",2023.0,0.0,0.025054112,0
2149,"[2021, 2022]",2023.0,0.0,0.9453657,1
2150,"[2021, 2022]",2023.0,0.0,2.810824e-05,0
2152,"[2021, 2022]",2023.0,0.0,0.39760605,0
2153,"[2021, 2022]",2023.0,0.0,0.82504785,1
2154,"[2021, 2022]",2023.0,0.0,0.00053457613,0
2155,"[2021, 2022]",2023.0,0.0,1.790364e-05,0
2156,"[2021, 2022]",2023.0,0.0,0.9985392,1
2158,"[2021, 2022]",2023.0,0.0,3.1364918e-05,0
2159,"[2021, 2022]",2023.0,0.0,0.9983027,1
2161,"[2021, 2022]",2023.0,0.0,0.99712294,1
2162,"[2021, 2022]",2023.0,0.0,0.9971125,1
2164,"[2021, 2022]",2023.0,0.0,2.1841266e-05,0
2166,"[2021, 2022]",2023.0,0.0,0.014293505,0
2167,"[2021, 2022]",2023.0,0.0,0.34962153,0
2169,"[2021, 2022]",2023.0,0.0,0.21917391,0
2170,"[2021, 2022]",2023.0,0.0,0.9991109,1
2175,"[2021, 2022]",2023.0,0.0,9.6873904e-05,0
2176,"[2021, 2022]",2023.0,0.0,4.934141e-06,0
2177,"[2021, 2022]",2023.0,0.0,0.044389244,0
2179,"[2021, 2022]",2023.0,0.0,0.0104224,0
2181,"[2021, 2022]",2023.0,0.0,0.2633063,0
2182,"[2021, 2022]",2023.0,0.0,2.4480223e-05,0
2183,"[2021, 2022]",2023.0,0.0,0.27819353,0
2185,"[2021, 2022]",2023.0,0.0,0.0028149583,0
2186,"[2021, 2022]",2023.0,0.0,0.9884179,1
2187,"[2021, 2022]",2023.0,0.0,0.9980926,1
2188,"[2021, 2022]",2023.0,0.0,0.0087771835,0
2191,"[2021, 2022]",2023.0,0.0,0.011296432,0
2192,"[2021, 2022]",2023.0,0.0,5.148565e-06,0
2194,"[2021, 2022]",2023.0,0.0,0.07299279,0
2197,"[2021, 2022]",2023.0,0.0,0.9992993,1
2198,"[2021, 2022]",2023.0,0.0,0.024503455,0
2199,"[2021, 2022]",2023.0,0.0,0.9909696,1
2200,"[2021, 2022]",2023.0,1.0,0.9886125,1
2202,"[2021, 2022]",2023.0,0.0,0.99449784,1
2203,"[2021, 2022]",2023.0,0.0,0.016817266,0
2204,"[2021, 2022]",2023.0,0.0,0.9896826,1
2205,"[2021, 2022]",2023.0,0.0,0.99551046,1
2206,"[2021, 2022]",2023.0,0.0,0.003696172,0
2208,"[2021, 2022]",2023.0,0.0,0.010831095,0
2210,"[2021, 2022]",2023.0,0.0,0.06124296,0
